hr_mean,hrv_rmssd,hrv_pnn50,created_at,label
94.9,94.51631252505217,100,2025-11-13 18:14:34.344957,1
96.1,83.66600265340756,50,2025-11-13 18:14:36.310861,1
97.68,73.48469228349535,75,2025-11-13 18:14:38.687222,1
100.04,109.54451150103323,50,2025-11-13 18:14:40.683177,1
105.26,37.416573867739416,25,2025-11-13 18:14:42.918827,1
107.92,83.06623862918075,50,2025-11-13 18:14:45.284548,1
107.88,91.6515138991168,25,2025-11-13 18:14:47.387368,1
106.78,100.99504938362078,50,2025-11-13 18:14:49.586406,1
105.68,121.10601416389966,66.66666666666667,2025-11-13 18:14:51.854164,1
103.2,166.43316977093238,50,2025-11-13 18:14:54.19932,1
101.48,300.44411571316664,33.333333333333336,2025-11-13 18:14:56.313526,1
101,92.19544457292888,50,2025-11-13 18:14:58.51953,1
101,199.66638842495917,66.66666666666667,2025-11-13 18:15:00.628024,1
101,43.58898943540674,25,2025-11-13 18:15:02.864283,1
101,135.27749258468683,50,2025-11-13 18:15:05.158405,1
101,30,0,2025-11-13 18:15:07.262758,1
101,17.320508075688775,0,2025-11-13 18:15:09.57094,1
102.06,140.47538337136984,33.333333333333336,2025-11-13 18:15:11.771367,1
103.42,72.80109889280519,50,2025-11-13 18:15:14.035601,1
104.98,237.90754506740637,50,2025-11-13 18:15:16.181908,1
105.38,30,0,2025-11-13 18:15:18.418534,1
105,60.8276253029822,50,2025-11-13 18:15:20.585729,1
104.66,44.721359549995796,50,2025-11-13 18:15:22.852788,1
103.56,400.37482438335206,25,2025-11-13 18:15:25.080833,1
103.06,31.622776601683793,0,2025-11-13 18:15:27.272698,1
104,87.17797887081348,50,2025-11-13 18:15:29.498615,1
103.74,47.958315233127195,50,2025-11-13 18:15:31.756034,1
102.64,38.72983346207417,25,2025-11-13 18:15:33.930149,1
101.5,70.71067811865476,25,2025-11-13 18:15:36.34363,1
100,158.74507866387543,50,2025-11-13 18:15:38.391545,1
99.82,28.284271247461902,0,2025-11-13 18:15:40.677402,1
98.72,38.72983346207417,25,2025-11-13 18:15:42.772908,1
98,77.45966692414834,50,2025-11-13 18:15:44.986723,1
98,67.82329983125268,50,2025-11-13 18:15:47.140468,1
98,121.10601416389966,100,2025-11-13 18:15:49.466259,1
98,100.99504938362078,75,2025-11-13 18:15:51.650091,1
98,46.9041575982343,50,2025-11-13 18:15:53.79448,1
97.58,45.8257569495584,25,2025-11-13 18:15:56.182118,1
98,20,0,2025-11-13 18:15:58.272496,1
